Hva kommer du aldri til å gjøre igjen,1,01.01.2000 kl. 00.00.00,1,1.0
Hvem er den smarteste personen du har snakket med?,2,01.01.2000 kl. 00.00.00,1,0.5
Hvem er din helt?,0,01.01.2000 kl. 00.00.00,0,0
Hva er din største frykt?,1,01.01.2000 kl. 00.00.00,0,0.0
Hva er det mest spennende med jobben din?,2,01.01.2000 kl. 00.00.00,1,0.5
Hvor ville du bodd hvis du kunne bodd hvor som helst i verden?,1,01.01.2000 kl. 00.00.00,0,0.0
Hva ville du bli når du var barn?,0,01.01.2000 kl. 00.00.00,0,0
Har du noensinne hatt et kallenavn?,0,01.01.2000 kl. 00.00.00,0,0
Hvor er du fra?,1,01.01.2000 kl. 00.00.00,0,0.0
Har du en krone?,2,11.11.2021 kl. 18.18.00,2,1.0
Hvor er den kuleste plassen du har vært?,0,18.11.2021 kl. 10.13.57,0,0
